id,article_id,model_name,publication_date,source_file,impact_index,location,classification,severity,confidence,evidence,recency_in_months,geocoded_latitude,geocoded_longitude,geocoded_display_name,geocoded_place_type,geocoded_place_level,geocoded_is_broad,geocoded_country_code,geocoded_osm_id,geocoded_boundingbox,geocoded_place_rank,geocoded_is_low_quality,nuts_level,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts_match_distance_m,source_nuts_level,mention_weight
NEWS_2018_009498,,gemini/gemini-3.5-flash,2018-03-29,&#x2018;&#x20AC;&#x2009;30 per 100 kilo niet verwacht&#x2019;.DOCX,0,Ens,Crop Failure & Yield Reduction,2,0.95,"Het droge voorjaar zorgde voor best wat plantuitval, waardoor veel peen grof is gegroeid. Met als gevolg een tekort aan fijnere peen.",12,42.8063652,0.3402903,"Ens, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65170, France",village,local,False,fr,2334615,42.7797147|42.8107491|0.3225611|0.3504315,50,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009498,,gemini/gemini-3.5-flash,2018-03-29,&#x2018;&#x20AC;&#x2009;30 per 100 kilo niet verwacht&#x2019;.DOCX,0,Ens,Crop Failure & Yield Reduction,2,0.95,moeizame opkomst in het voorjaar door de droogte.,12,42.8063652,0.3402903,"Ens, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65170, France",village,local,False,fr,2334615,42.7797147|42.8107491|0.3225611|0.3504315,50,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009499,,gemini/gemini-3.5-flash,2018-03-06,&#x2018;Boer is Europees geld meer dan waard&#x2019;(2).DOCX,0,Portugal,Agricultural Economic Loss,2,0.8,"Ongeveer 40% van de Europese boeren is afhankelijk van de directe betalingen, terwijl ze te maken hebben met toenemende grilligheden in de markt en hevige weersinvloeden. Alleen al in het afgelopen jaar hebben we te maken gehad met hevige regenval in het noorden en oosten van Europa en extreme droogte in Portugal.",12,39.6621648,-8.1353519,Portugal,country,country,True,pt,295480,29.8282470|42.1543112|-31.5575303|-6.1891593,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009501,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Klimaat kernwoord in landbouwdebat&#x2019;.DOCX,0,de Jordaan,Reservoir & Surface Water Shortage,3,0.95,De rivier de Jordaan was in de tijd van de Romeinen de levensader van een welvarende graanschuur in het Midden-Oosten. Nu is het een modderstroompje van een paar meter breed.,0,53.2961766,5.9017614,"De Jordaan, Rinsumageast, Dantumadiel, Fryslân, Nederland, 9105 AX, Nederland",canal,other,False,nl,966576462,53.2919860|53.2999881|5.8983218|5.9046461,1,True,nuts3,NL12,Friesland (NL),NL124,Noord-Friesland,0,nuts3,1.0
NEWS_2018_009501,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Klimaat kernwoord in landbouwdebat&#x2019;.DOCX,1,zuiden van Europa,Forest Dieback & Vegetation Stress,2,0.85,De bodem verbrandt en dat zet door.,0,51.9815020,5.9811419,"Europaweg, Velp-Zuid ten zuiden van Waterstraat, Velp, Rheden, Gelderland, Nederland, 6825 MH, Nederland",road,other,False,nl,6863555,51.9811646|51.9819104|5.9809980|5.9814102,5,True,nuts3,NL22,Gelderland,NL226,Arnhem/Nijmegen,0,nuts3,1.0
NEWS_2018_009501,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Klimaat kernwoord in landbouwdebat&#x2019;.DOCX,1,zuiden van Europa,Social Impacts,2,0.8,"Het zuiden van Europa wordt onbewoonbaar, nu is het al te heet in de zomer.",0,51.9815020,5.9811419,"Europaweg, Velp-Zuid ten zuiden van Waterstraat, Velp, Rheden, Gelderland, Nederland, 6825 MH, Nederland",road,other,False,nl,6863555,51.9811646|51.9819104|5.9809980|5.9814102,5,True,nuts3,NL22,Gelderland,NL226,Arnhem/Nijmegen,0,nuts3,1.0
NEWS_2018_009502,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Pijnlijk hoe weinig de landbouwcrisis doordringt&#x2019;.DOCX,0,Zuid-Europa,Forest Dieback & Vegetation Stress,3,0.9,De bodem verbrandt en dat zet door. Het hele agrarische ecosysteem verandert.,0,51.9918089,4.2304884,"Europa, Horti Campus, Naaldwijk, Westland, Zuid-Holland, Nederland, 2672 ZX, Nederland",road,other,False,nl,509687528,51.9917994|51.9929617|4.2281806|4.2331281,5,True,nuts3,NL33,Zuid-Holland,NL333,Delft en Westland,0,nuts3,1.0
NEWS_2018_009502,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Pijnlijk hoe weinig de landbouwcrisis doordringt&#x2019;.DOCX,0,Zuid-Europa,Freshwater Ecosystem Degradation,3,0.8,Duizenden organismen overleven de hitte niet.,0,51.9918089,4.2304884,"Europa, Horti Campus, Naaldwijk, Westland, Zuid-Holland, Nederland, 2672 ZX, Nederland",road,other,False,nl,509687528,51.9917994|51.9929617|4.2281806|4.2331281,5,True,nuts3,NL33,Zuid-Holland,NL333,Delft en Westland,0,nuts3,1.0
NEWS_2018_009502,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Pijnlijk hoe weinig de landbouwcrisis doordringt&#x2019;.DOCX,0,Zuid-Europa,Heat & Air Quality Health Impacts,3,0.9,"Het zuiden van Europa wordt onbewoonbaar, nu is het al te heet in de zomer.",0,51.9918089,4.2304884,"Europa, Horti Campus, Naaldwijk, Westland, Zuid-Holland, Nederland, 2672 ZX, Nederland",road,other,False,nl,509687528,51.9917994|51.9929617|4.2281806|4.2331281,5,True,nuts3,NL33,Zuid-Holland,NL333,Delft en Westland,0,nuts3,1.0
NEWS_2018_009502,,gemini/gemini-3.5-flash,2018-02-27,&#x2018;Pijnlijk hoe weinig de landbouwcrisis doordringt&#x2019;.DOCX,1,de Jordaan,Reservoir & Surface Water Shortage,3,0.95,De rivier de Jordaan was in de tijd van de Romeinen de levensader van een welvarende graanschuur in het Midden-Oosten. Nu is het een modderstroompje van een paar meter breed.,24,53.2961766,5.9017614,"De Jordaan, Rinsumageast, Dantumadiel, Fryslân, Nederland, 9105 AX, Nederland",canal,other,False,nl,966576462,53.2919860|53.2999881|5.8983218|5.9046461,1,True,nuts3,NL12,Friesland (NL),NL124,Noord-Friesland,0,nuts3,1.0
