nuts3_id,nuts3_name,population_count,population_fraction,n_valid_pixels
NL111,Oost-Groningen,153985.078125,0.00886539563675484,65675
NL112,Delfzijl en omgeving,48075.05078125,0.002767828874216517,23202
NL113,Overig Groningen,390857.9375,0.0225028963578577,116086
NL124,Noord-Friesland,332226.9375,0.019127328946341195,132666
NL125,Zuidwest-Friesland,136331.046875,0.00784899863569066,69209
NL126,Zuidoost-Friesland,190378.375,0.010960669927299015,90031
NL131,Noord-Drenthe,193682.171875,0.011150879697992335,80545
NL132,Zuidoost-Drenthe,172400.90625,0.009925651632300527,70855
NL133,Zuidwest-Drenthe,134098.1875,0.00772044603824649,62201
NL211,Noord-Overijssel,372646.75,0.021454422153937988,141589
NL212,Zuidwest-Overijssel,157185.59375,0.009049659187501021,53045
NL213,Twente,636135.625,0.03662428894364217,187843
NL221,Veluwe,691183.0,0.03979353601668422,186301
NL224,Zuidwest-Gelderland,246320.265625,0.014181417022391554,86707
NL225,Achterhoek,407304.34375,0.023449766664931797,198733
NL226,Arnhem/Nijmegen,740312.25,0.0426220583896993,107708
NL230,Flevoland,421189.75,0.024249192307222864,102995
NL310,Utrecht,1302543.625,0.07499145183654679,165446
NL321,Kop van Noord-Holland,379752.75,0.021863536479571805,117095
NL323,IJmond,198429.84375,0.011424217803462536,20631
NL324,Agglomeratie Haarlem,231855.046875,0.013348609787090134,17318
NL325,Zaanstreek,169665.375,0.009768158665428309,14441
NL327,Het Gooi en Vechtstreek,268966.625,0.015485237743439144,25972
NL328,Alkmaar en omgeving,249119.703125,0.014342589269079777,38523
NL329,Groot-Amsterdam,1348232.5,0.07762190121518354,99595
NL332,Agglomeratie ’s-Gravenhage,869403.875,0.050054261191113385,40042
NL333,Delft en Westland,228963.703125,0.013182146214270433,24585
NL337,Agglomeratie Leiden en Bollenstreek,424562.5,0.024443371921883922,40163
NL33A,Zuidoost-Zuid-Holland,409030.0,0.023549118014916954,51526
NL33B,Oost-Zuid-Holland,331768.53125,0.019100937085401837,53324
NL33C,Groot-Rijnmond,1446101.0,0.08325649245896248,153644
NL341,Zeeuwsch-Vlaanderen,105987.5546875,0.0061020302507112005,58821
NL342,Overig Zeeland,279179.625,0.0160732316370077,104470
NL411,West-Noord-Brabant,634844.0,0.03654992611070567,138399
NL412,Midden-Noord-Brabant,475826.125,0.027394776843277086,94498
NL413,Noordoost-Noord-Brabant,667490.125,0.03842946416501643,167454
NL414,Zuidoost-Noord-Brabant,774867.8125,0.044611528647099344,159292
NL421,Noord-Limburg,285658.25,0.016446226049885465,97140
NL422,Midden-Limburg,239595.3125,0.013794240740002952,72143
NL423,Zuid-Limburg,607441.75,0.03497229410541447,79148
