class,drought_bin,n,n_pos,prevalence,mean_pred,brier,pr_auc,skill
Agricultural Economic Loss,dry,141.0,11.0,0.07801418439716312,0.6274458798842049,0.3822665379758088,0.24095124655551647,0.16293706215835335
Agricultural Economic Loss,near_normal,165.0,8.0,0.048484848484848485,0.5740210447995768,0.3430431715693569,0.32453138053467,0.27604653204982155
Agricultural Economic Loss,wet,571.0,13.0,0.02276707530647986,0.24241381393141534,0.0884229025571335,0.04484207381961623,0.022074998513136372
Crop Failure & Yield Reduction,dry,141.0,44.0,0.3120567375886525,0.6153170019287371,0.26286930426288,0.6639198399224117,0.35186310233375917
Crop Failure & Yield Reduction,near_normal,165.0,42.0,0.2545454545454545,0.5595859226716222,0.24101210620640812,0.6652984193996438,0.41075296485418933
Crop Failure & Yield Reduction,wet,571.0,42.0,0.07355516637478109,0.32470996637583127,0.1475938824661305,0.16809906815162856,0.09454390177684747
Forest Dieback & Vegetation Stress,dry,141.0,20.0,0.14184397163120568,0.4191088148353897,0.22435111137773292,0.20635268847577362,0.06450871684456794
Forest Dieback & Vegetation Stress,near_normal,165.0,28.0,0.1696969696969697,0.40306319347369973,0.22288524374470814,0.25262771752006496,0.08293074782309526
Forest Dieback & Vegetation Stress,wet,571.0,46.0,0.08056042031523643,0.3296455828855421,0.14769669390769807,0.3495756928491438,0.2690152725339074
Freshwater Ecosystem Degradation,dry,141.0,19.0,0.1347517730496454,0.5434933615283697,0.2764065816576262,0.4235320563583163,0.2887802833086709
Freshwater Ecosystem Degradation,near_normal,165.0,45.0,0.2727272727272727,0.5253823570345939,0.2770411516697527,0.33525851939344353,0.06253124666617083
Freshwater Ecosystem Degradation,wet,571.0,40.0,0.07005253940455342,0.45591011864690756,0.24915017793304395,0.08555149031577457,0.015498950911221152
Groundwater Depletion,dry,141.0,15.0,0.10638297872340426,0.624554072000621,0.3597604430958358,0.4105136049498795,0.30413062622647524
Groundwater Depletion,near_normal,165.0,33.0,0.2,0.6194655633097594,0.3272201199992443,0.38499201214041345,0.18499201214041344
Groundwater Depletion,wet,571.0,48.0,0.0840630472854641,0.32501719653408856,0.15456883649687447,0.2009100981597444,0.1168470508742803
Irrigation Shortage,dry,141.0,22.0,0.15602836879432624,0.5439211859847678,0.30449527762679507,0.3110128228995747,0.15498445410524847
Irrigation Shortage,near_normal,165.0,30.0,0.18181818181818182,0.5723191509945686,0.3095467906429416,0.4203951594786119,0.23857697766043007
Irrigation Shortage,wet,571.0,26.0,0.04553415061295972,0.36616109433278743,0.16765217099744004,0.24750956998968165,0.20197541937672192
Reservoir & Surface Water Shortage,dry,141.0,26.0,0.18439716312056736,0.604872182070941,0.3320854155703151,0.22602828581658657,0.04163112269601921
Reservoir & Surface Water Shortage,near_normal,165.0,39.0,0.23636363636363636,0.5194468092682654,0.2805942110880967,0.25651210876089175,0.020148472397255396
Reservoir & Surface Water Shortage,wet,571.0,22.0,0.03852889667250438,0.2203311280725963,0.0892454598578817,0.05409713422498991,0.015568237552485528
Water Supply & Sanitation Issues,dry,141.0,20.0,0.14184397163120568,0.6065321032880011,0.3338454317474784,0.2884236360703069,0.14657966443910123
Water Supply & Sanitation Issues,near_normal,165.0,26.0,0.15757575757575756,0.6166348971597111,0.3420413370589183,0.3202923666500598,0.16271660907430222
Water Supply & Sanitation Issues,wet,571.0,54.0,0.09457092819614711,0.573776765135736,0.3246410319639886,0.152052490541918,0.057481562345770884
Water Use Restrictions,dry,141.0,6.0,0.0425531914893617,0.4977513883726731,0.2842392761671605,0.09014008620689655,0.04758689471753485
Water Use Restrictions,near_normal,165.0,27.0,0.16363636363636364,0.5834552761018192,0.2910733883952097,0.7057149807090877,0.5420786170727241
Water Use Restrictions,wet,571.0,16.0,0.028021015761821366,0.25006928199103184,0.10608941454110317,0.22539367103828145,0.19737265527646009
Wildfire Occurrence,dry,141.0,4.0,0.028368794326241134,0.229251501124299,0.0796859615456888,,
Wildfire Occurrence,near_normal,165.0,12.0,0.07272727272727272,0.2845772069990683,0.14742890802126962,0.10323856084680139,0.030511288119528662
Wildfire Occurrence,wet,571.0,8.0,0.014010507880910683,0.2846132196664279,0.1377717353875681,0.052590704186642925,0.03858019630573224
