class,nuts3_id,nuts3_name,n,n_pos,prevalence,mean_pred,brier,pr_auc,skill
Agricultural Economic Loss,NL111,Oost-Groningen,22.0,0.0,0.0,0.2656592078518357,0.1102101465063968,,
Agricultural Economic Loss,NL112,Delfzijl en omgeving,21.0,0.0,0.0,0.40518721834018934,0.21132598083311954,,
Agricultural Economic Loss,NL113,Overig Groningen,22.0,0.0,0.0,0.3059583494006443,0.135677598428833,,
Agricultural Economic Loss,NL124,Noord-Friesland,22.0,0.0,0.0,0.4282299087530186,0.2326811462134323,,
Agricultural Economic Loss,NL125,Zuidwest-Friesland,22.0,0.0,0.0,0.18858419019708084,0.056530660238768134,,
Agricultural Economic Loss,NL126,Zuidoost-Friesland,21.0,0.0,0.0,0.23794779056569054,0.08931746913092413,,
Agricultural Economic Loss,NL131,Noord-Drenthe,22.0,0.0,0.0,0.3154402095318006,0.1460203358374053,,
Agricultural Economic Loss,NL132,Zuidoost-Drenthe,22.0,0.0,0.0,0.19181192301106806,0.0648259676704026,,
Agricultural Economic Loss,NL133,Zuidwest-Drenthe,22.0,0.0,0.0,0.25186893612932226,0.10169529669522061,,
Agricultural Economic Loss,NL211,Noord-Overijssel,22.0,0.0,0.0,0.30012211661426713,0.134709465978175,,
Agricultural Economic Loss,NL212,Zuidwest-Overijssel,22.0,0.0,0.0,0.42705825671575504,0.2362697927778793,,
Agricultural Economic Loss,NL213,Twente,22.0,0.0,0.0,0.45906889467967,0.262861015008511,,
Agricultural Economic Loss,NL221,Veluwe,22.0,1.0,0.045454545454545456,0.49675706448841866,0.3211489479396267,,
Agricultural Economic Loss,NL224,Zuidwest-Gelderland,22.0,0.0,0.0,0.30381621046276047,0.14102798525982058,,
Agricultural Economic Loss,NL225,Achterhoek,22.0,3.0,0.13636363636363635,0.5425083592137199,0.34290839758393266,,
Agricultural Economic Loss,NL226,Arnhem/Nijmegen,22.0,0.0,0.0,0.4101084952208966,0.22205071649948166,,
Agricultural Economic Loss,NL230,Flevoland,22.0,0.0,0.0,0.3280072694661683,0.15458564160638677,,
Agricultural Economic Loss,NL310,Utrecht,22.0,1.0,0.045454545454545456,0.3012896068107624,0.12073187183334416,,
Agricultural Economic Loss,NL321,Kop van Noord-Holland,22.0,2.0,0.09090909090909091,0.4205345652160853,0.20493102880636532,,
Agricultural Economic Loss,NL323,IJmond,22.0,0.0,0.0,0.20144411622362376,0.06601237254529989,,
Agricultural Economic Loss,NL324,Agglomeratie Haarlem,22.0,0.0,0.0,0.22366683611830168,0.08175656906208467,,
Agricultural Economic Loss,NL325,Zaanstreek,22.0,0.0,0.0,0.2031803810931991,0.06901782488674796,,
