nuts3_id,nuts3_name,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill,rank_score
NL33C,Groot-Rijnmond,220.0,18.0,10.0,1.0,0.08181818181818182,0.5090199194991943,0.27644126983856315,0.81,0.5827272727272728,0.5827272727272728
NL423,Zuid-Limburg,220.0,21.0,10.0,1.0,0.09545454545454543,0.4520638211112137,0.22833096812250817,0.6476190476190475,0.42034632034632025,0.42034632034632025
NL329,Groot-Amsterdam,220.0,33.0,10.0,4.0,0.15,0.36419757659332375,0.17408129288661828,0.6475965007215007,0.39759650072150066,0.39759650072150066
NL414,Zuidoost-Noord-Brabant,220.0,46.0,10.0,5.0,0.20909090909090908,0.6118666641623607,0.3308968190108181,0.6194768070971077,0.31038589800619876,0.31038589800619876
NL225,Achterhoek,220.0,30.0,10.0,2.0,0.13636363636363633,0.5771312799098449,0.320959261227154,0.5521623503202451,0.30216235032024513,0.30216235032024513
NL412,Midden-Noord-Brabant,220.0,37.0,10.0,4.0,0.16818181818181818,0.5500941354759282,0.28967977930059635,0.5608059764309764,0.265351430976431,0.265351430976431
NL341,Zeeuwsch-Vlaanderen,220.0,41.0,10.0,4.0,0.18636363636363634,0.46118605621118824,0.22245374353214986,0.6292064838756014,0.2542064838756015,0.2542064838756015
NL342,Overig Zeeland,220.0,49.0,10.0,4.0,0.22272727272727272,0.4371028868101984,0.1955295763699023,0.6965554826275633,0.24201002808210867,0.24201002808210867
NL213,Twente,220.0,26.0,10.0,1.0,0.11818181818181817,0.5801181279783684,0.3361208112176614,0.45460317460317456,0.2273304473304473,0.2273304473304473
NL411,West-Noord-Brabant,220.0,43.0,10.0,5.0,0.19545454545454546,0.5616486272657981,0.28996721302840844,0.523543318337436,0.2053615001556178,0.2053615001556178
NL413,Noordoost-Noord-Brabant,220.0,46.0,10.0,4.0,0.20909090909090908,0.6020626746349352,0.3177418724009791,0.5660700374647467,0.202433673828383,0.202433673828383
NL221,Veluwe,220.0,25.0,10.0,1.0,0.11363636363636362,0.5959961281888446,0.35377013018437087,0.5401251526251526,0.17648878898878895,0.17648878898878895
NL422,Midden-Limburg,220.0,27.0,10.0,2.0,0.12272727272727271,0.525587219864319,0.2882293135594098,0.38136216208971624,0.13136216208971624,0.13136216208971624
NL333,Delft en Westland,220.0,24.0,10.0,1.0,0.10909090909090909,0.35960448713823,0.1914578688709319,0.45729243344374926,0.09365606980738561,0.09365606980738561
NL310,Utrecht,220.0,28.0,10.0,2.0,0.12727272727272726,0.47855774790694916,0.24664068152967591,0.3555345117845118,0.08280723905723908,0.08280723905723908
NL132,Zuidoost-Drenthe,220.0,4.0,10.0,0.0,0.01818181818181818,0.2303466887251838,0.0850037651348132,,,-0.0850037651348132
NL325,Zaanstreek,220.0,11.0,10.0,0.0,0.05,0.22184850175522358,0.09444449509910444,,,-0.09444449509910444
NL323,IJmond,220.0,9.0,10.0,0.0,0.04090909090909091,0.25042538111590246,0.10091566028368412,,,-0.10091566028368412
NL125,Zuidwest-Friesland,220.0,13.0,10.0,0.0,0.05909090909090908,0.24084227359236196,0.10692595744733455,,,-0.10692595744733455
NL33B,Oost-Zuid-Holland,220.0,13.0,10.0,0.0,0.05909090909090908,0.23642862114515725,0.11643009973953597,,,-0.11643009973953597
NL324,Agglomeratie Haarlem,220.0,12.0,10.0,0.0,0.05454545454545454,0.27317990203746556,0.11702603558536986,,,-0.11702603558536986
NL332,Agglomeratie ’s-Gravenhage,220.0,12.0,10.0,0.0,0.05454545454545454,0.2690782846697966,0.12064900254521027,,,-0.12064900254521027
NL126,Zuidoost-Friesland,210.0,11.0,10.0,0.0,0.052380952380952375,0.2843120117357569,0.13113572936849488,,,-0.13113572936849488
NL133,Zuidwest-Drenthe,220.0,5.0,10.0,0.0,0.022727272727272728,0.3000526186418064,0.1315674684209965,,,-0.1315674684209965
NL111,Oost-Groningen,220.0,12.0,10.0,0.0,0.05454545454545454,0.3024889718193418,0.13847413703204103,,,-0.13847413703204103
NL113,Overig Groningen,220.0,8.0,10.0,0.0,0.03636363636363636,0.3244250099965014,0.14393611410994203,,,-0.14393611410994203
NL328,Alkmaar en omgeving,220.0,10.0,10.0,0.0,0.045454545454545456,0.32545526607302344,0.1491655287470289,,,-0.1491655287470289
NL211,Noord-Overijssel,220.0,19.0,10.0,0.0,0.08636363636363636,0.35711552422269943,0.1550625797097573,,,-0.1550625797097573
NL337,Agglomeratie Leiden en Bollenstreek,220.0,6.0,10.0,0.0,0.02727272727272727,0.35557716933325445,0.16754014461220693,,,-0.16754014461220693
NL112,Delfzijl en omgeving,210.0,8.0,10.0,0.0,0.03809523809523809,0.357182301646657,0.174829244525469,,,-0.174829244525469
NL33A,Zuidoost-Zuid-Holland,220.0,11.0,10.0,0.0,0.05,0.36079328715554726,0.17580834694195677,,,-0.17580834694195677
NL131,Noord-Drenthe,220.0,10.0,10.0,0.0,0.045454545454545456,0.36497604669299294,0.17606467718124735,,,-0.17606467718124735
NL327,Het Gooi en Vechtstreek,210.0,9.0,10.0,0.0,0.04285714285714286,0.38232015343168446,0.17934402236134803,,,-0.17934402236134803
NL321,Kop van Noord-Holland,220.0,21.0,10.0,0.0,0.09545454545454544,0.3770434161854606,0.18015183076667882,,,-0.18015183076667882
NL230,Flevoland,220.0,12.0,10.0,0.0,0.05454545454545455,0.34926820819354687,0.18032841268961794,,,-0.18032841268961794
NL124,Noord-Friesland,220.0,20.0,10.0,0.0,0.09090909090909091,0.39617388811714116,0.19135525843494516,,,-0.19135525843494516
NL224,Zuidwest-Gelderland,220.0,12.0,10.0,0.0,0.05454545454545454,0.38274675471137604,0.19373594855832926,,,-0.19373594855832926
NL226,Arnhem/Nijmegen,220.0,19.0,10.0,0.0,0.08636363636363636,0.4856499767857043,0.25821276109227576,,,-0.25821276109227576
NL421,Noord-Limburg,220.0,19.0,10.0,0.0,0.08636363636363638,0.5310187224490269,0.2855960262862703,,,-0.2855960262862703
NL212,Zuidwest-Overijssel,220.0,12.0,10.0,0.0,0.05454545454545454,0.5232369814921116,0.29868865461427674,,,-0.29868865461427674
