month,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill
1,800.0,15.0,10.0,0.0,0.01875,0.24320713592894694,0.09266924909920862,,
2,770.0,28.0,10.0,3.0,0.03636363636363636,0.28962470040840776,0.12988596196090915,0.1059432392770213,0.041008174341956374
3,800.0,95.0,10.0,9.0,0.11875000000000002,0.41081965960575423,0.2003172936415631,0.41927440915702213,0.2887188536014666
4,800.0,135.0,10.0,10.0,0.16875,0.4626713308471033,0.2352534362655824,0.4187933023405533,0.2500433023405533
5,800.0,66.0,10.0,6.0,0.08249999999999999,0.5705886102583226,0.3311323683047429,0.4058905115453714,0.2850571782120381
6,800.0,169.0,10.0,9.0,0.21125,0.6022611984712702,0.3057349035273762,0.5355983545470117,0.3036539101025672
7,800.0,106.0,10.0,8.0,0.1325,0.5384526209230691,0.2873417740364729,0.41992719499566233,0.2621146949956623
8,800.0,48.0,10.0,4.0,0.06,0.5350576596417935,0.31161911244420887,0.3986310535864107,0.29550605358641074
9,800.0,38.0,10.0,4.0,0.0475,0.35112526104379194,0.1592331139869732,0.2837986826872572,0.18067368268725725
10,400.0,9.0,10.0,0.0,0.0225,0.24575280567061014,0.09326824700770205,,
11,400.0,12.0,10.0,0.0,0.030000000000000006,0.23568833955470764,0.09264559831835646,,
12,800.0,71.0,10.0,7.0,0.08875000000000001,0.19429590716976106,0.0842006633413888,0.5139612430748409,0.39967552878912666
