feature,mean_abs_shap,n_models,n_models_evaluated
month_cos,0.6527251372073801,10,10
spei_09,0.4937696090853888,10,10
spei_06,0.4664172045491384,10,10
spi_12,0.46359547481328117,9,10
spi_09,0.20035548307450682,10,10
soil_moerige_gronden,0.1939784972041811,10,10
spi_03,0.16736782376512022,8,10
soil_podzolgronden,0.1562357610917728,9,10
spei_12,0.1461235546361572,8,10
cdd_days,0.14226504875500842,10,10
spei_03,0.13860126584853685,9,10
month_sin,0.12283275075675196,6,10
population_fraction,0.11690120006202913,10,10
spi_01,0.11231285474065693,10,10
soil_veengronden,0.11037167145174528,7,10
soil_kalkloze_zandgronden,0.11036278432324298,9,10
soil_dikke_eerdgronden,0.09978861683757231,7,10
spi_06,0.09251889456257895,4,10
soil_moisture_anom,0.09113597302331877,8,10
soil_niet_gerijpte_minerale_gronden,0.09001329887228555,6,10
soil_kalkhoudende_zandgronden,0.08529632876534829,8,10
soil_gedefinieerde_associaties,0.07617856045316365,6,10
soil_dominant_fraction,0.07090363374568105,5,10
elevation_mean,0.0685029602921425,6,10
spei_01,0.0569899815978022,3,10
spi_24,0.056983044348929944,3,10
spei_24,0.05061385056698179,5,10
soil_zeekleigronden,0.05023169019344844,4,10
soil_oude_rivierkleigronden,0.04493808527107911,4,10
soil_zeer_oude_mariene_afzettingen,0.03527607950062398,2,10
soil_rivierkleigronden,0.03353536535054854,2,10
soil_keileemgronden,0.03024968074177496,1,10
soil_brikgronden,0.025638534231705656,1,10
soil_leemgronden,0.016572799162314005,0,10
soil_kalksteen_verweringsgronden,0.010627249770944546,0,10
soil_zeer_oude_fluviatiele_afzettingen,0.010162418832699496,0,10
