staid,station_name,latitude,longitude,elevation,source_file
144,NETHERLANDS WEST TERSCHELLING,53.36666666666667,5.216666666666667,7,indexCDD_000144.txt
145,NETHERLANDS DE KOOY-1,52.916666666666664,4.783055555555555,0,indexCDD_000145.txt
146,NETHERLANDS DEN HELDER-1,52.933055555555555,4.75,0,indexCDD_000146.txt
147,NETHERLANDS GRONINGEN-1,53.183055555555555,6.6,1,indexCDD_000147.txt
148,NETHERLANDS TER APEL,52.88305555555556,7.066666666666666,12,indexCDD_000148.txt
149,NETHERLANDS HOORN,52.65,5.066666666666666,-1,indexCDD_000149.txt
150,NETHERLANDS HEERDE,52.4,6.05,6,indexCDD_000150.txt
151,NETHERLANDS HOOFDDORP,52.31666666666667,4.7,-3,indexCDD_000151.txt
152,NETHERLANDS DE BILT-1,52.1,5.183055555555556,2,indexCDD_000152.txt
153,NETHERLANDS WINTERSWIJK,51.98305555555556,6.7,34,indexCDD_000153.txt
154,NETHERLANDS KERKWERVE,51.683055555555555,3.8666666666666667,7,indexCDD_000154.txt
155,NETHERLANDS WESTDORPE-1,51.21666666666667,3.8666666666666667,2,indexCDD_000155.txt
156,NETHERLANDS AXEL,51.283055555555556,3.9166666666666665,2,indexCDD_000156.txt
157,NETHERLANDS OUDENBOSCH,51.56666666666667,4.533055555555555,1,indexCDD_000157.txt
158,NETHERLANDS ROERMOND,51.183055555555555,5.966666666666667,20,indexCDD_000158.txt
161,NETHERLANDS DE KOOY,52.92666666666666,4.780833333333334,1,indexCDD_000161.txt
162,NETHERLANDS DE BILT,52.098888888888894,5.179444444444445,2,indexCDD_000162.txt
164,NETHERLANDS EELDE,53.123333333333335,6.584444444444444,5,indexCDD_000164.txt
166,NETHERLANDS VLISSINGEN,51.44138888888889,3.595555555555556,8,indexCDD_000166.txt
168,NETHERLANDS MAASTRICHT,50.905277777777776,5.761666666666667,114,indexCDD_000168.txt
411,NETHERLANDS MARKNESSE,52.70166666666667,5.887499999999999,-3,indexCDD_000411.txt
413,NETHERLANDS LAUWERSOOG,53.41166666666666,6.199166666666667,3,indexCDD_000413.txt
437,NETHERLANDS WIJK AAN ZEE,52.50527777777778,4.603055555555555,9,indexCDD_000437.txt
