feature,mean_2024_07,mean_2025_07,diff_2025_minus_2024
spei_01,0.48764706710353495,-0.3813758865923672,-0.8690229536959022
spei_03,1.6072899005479286,-0.8218860571583113,-2.42917595770624
spei_06,2.216969268520673,-2.0006396392981207,-4.217608907818794
spei_09,2.8089252447088557,-1.484971783310175,-4.293897028019031
spei_12,2.8155323517819246,-1.1316515777260066,-3.947183929507931
spei_24,1.872532742967208,1.3027594599872827,-0.5697732829799254
spi_01,0.5991628560573898,0.07211208945243723,-0.5270507666049526
spi_03,1.8252871851540278,-0.2502307866612884,-2.0755179718153163
spi_06,2.6177534691989424,-1.6556040734052657,-4.273357542604208
spi_09,3.074161292115847,-1.1267182001223166,-4.200879492238164
spi_12,2.8228724996248884,-0.7226303484368449,-3.545502848061733
spi_24,2.371198896318674,1.7062577423950038,-0.6649411539236703
soil_moisture_anom,0.9485836016657363,-1.2302399929676018,-2.178823594633338
cdd_days,5.764339505523717,6.854621014949961,1.0902815094262444
has_impact_lag1,0.4,0.5,0.09999999999999998
month_sin,-0.4999999999999997,-0.4999999999999997,0.0
month_cos,-0.8660254037844389,-0.8660254037844389,0.0
year,2024.0,2025.0,1.0
crop_cover_fraction,0.6248563664867544,0.6248563664867544,0.0
tree_cover_fraction,0.07688868445237283,0.07688868445237283,0.0
water_cover_fraction,0.0813115827304827,0.0813115827304827,0.0
population_fraction,0.02497750461670454,0.02497750461670454,0.0
elevation_mean,9.64861159576103,9.64861159576103,0.0
elevation_std,7.303549402952195,7.303549402952195,0.0
soil_brikgronden,0.013088233465621445,0.013088233465621445,0.0
soil_dikke_eerdgronden,0.06376568437017369,0.06376568437017369,0.0
soil_gedefinieerde_associaties,0.033853889814364435,0.033853889814364435,0.0
soil_kalkhoudende_zandgronden,0.05168626176630481,0.05168626176630481,0.0
soil_kalkloze_zandgronden,0.10486268177209142,0.10486268177209142,0.0
soil_kalksteen_verweringsgronden,0.0003223777042240186,0.0003223777042240186,0.0
soil_keileemgronden,0.001304661957104849,0.001304661957104849,0.0
soil_leemgronden,0.007244991965143473,0.007244991965143473,0.0
soil_moerige_gronden,0.053414238561164964,0.053414238561164964,0.0
soil_niet_gerijpte_minerale_gronden,0.003189614251199216,0.003189614251199216,0.0
soil_oude_rivierkleigronden,0.0075479908026793024,0.0075479908026793024,0.0
soil_podzolgronden,0.1997842220572617,0.1997842220572617,0.0
soil_rivierkleigronden,0.08204788383505116,0.08204788383505116,0.0
soil_veengronden,0.11645413793727699,0.11645413793727699,0.0
soil_zeekleigronden,0.2604204630818736,0.2604204630818736,0.0
soil_zeer_oude_fluviatiele_afzettingen,0.0004843565595440619,0.0004843565595440619,0.0
soil_zeer_oude_mariene_afzettingen,0.0005283100989209092,0.0005283100989209092,0.0
soil_dominant_fraction,0.5169736157168897,0.5169736157168897,0.0
Crop Failure & Yield Reduction_lag1,0.075,0.3,0.22499999999999998
Reservoir & Surface Water Shortage_lag1,0.0,0.025,0.025
Freshwater Ecosystem Degradation_lag1,0.025,0.075,0.049999999999999996
Groundwater Depletion_lag1,0.025,0.2,0.17500000000000002
Water Use Restrictions_lag1,0.025,0.125,0.1
Forest Dieback & Vegetation Stress_lag1,0.025,0.025,0.0
Agricultural Economic Loss_lag1,0.05,0.125,0.075
Irrigation Shortage_lag1,0.05,0.15,0.09999999999999999
Water Supply & Sanitation Issues_lag1,0.3,0.025,-0.27499999999999997
Wildfire Occurrence_lag1,0.0,0.025,0.025
