nuts3_id,nuts3_name,crop_cover_fraction,tree_cover_fraction,water_cover_fraction,n_valid_pixels,area_km2_approx
NL111,Oost-Groningen,0.8330203516349381,0.03239360578390179,0.027616722612145254,85202,852.02
NL112,Delfzijl en omgeving,0.8664690599041242,0.005672045961869213,0.02696966370256523,27327,273.27
NL113,Overig Groningen,0.8072585942631925,0.014756482842753918,0.05804060183302574,127876,1278.76
NL124,Noord-Friesland,0.7569573978302776,0.011091910640872879,0.07699457881307822,160297,1602.97
NL125,Zuidwest-Friesland,0.5297250487118423,0.00868153279930721,0.4185682326621924,138570,1385.7
NL126,Zuidoost-Friesland,0.8079085401524991,0.05445549463079928,0.046820620110457796,100853,1008.53
NL131,Noord-Drenthe,0.7164663790580661,0.11730277255949628,0.028282561289896254,105931,1059.31
NL132,Zuidoost-Drenthe,0.7734101912764063,0.08544475563950585,0.026846001867170368,92118,921.1800000000001
NL133,Zuidwest-Drenthe,0.7248959081119886,0.14311557788944723,0.0026992103374012923,69650,696.5
NL211,Noord-Overijssel,0.7436112246744455,0.07291212878752337,0.08691951449998994,149207,1492.07
NL212,Zuidwest-Overijssel,0.8165413533834587,0.06252349624060151,0.017222744360902254,42560,425.6
NL213,Twente,0.7336565613511642,0.10581943630454473,0.012114390750705951,150152,1501.52
NL221,Veluwe,0.442045894447073,0.3358531549744075,0.014882360531635769,185992,1859.92
NL224,Zuidwest-Gelderland,0.7900436334787783,0.005381462382652386,0.07678170038344573,75630,756.3000000000001
NL225,Achterhoek,0.8431315968348018,0.07319200235979122,0.004661870134533749,155946,1559.46
NL226,Arnhem/Nijmegen,0.5268561163852075,0.14214995143653852,0.06365468767950204,95751,957.51
NL230,Flevoland,0.41633750456401236,0.07838898662329472,0.42294702426394926,241016,2410.16
NL310,Utrecht,0.5898708694423187,0.12650382289878453,0.04097292601708412,145047,1450.47
NL321,Kop van Noord-Holland,0.5853577921004792,0.011370021484052223,0.2792992893736572,151275,1512.75
NL323,IJmond,0.3415897961507801,0.11895000569411229,0.061496412709258624,17562,175.62
NL324,Agglomeratie Haarlem,0.1786409166246307,0.14080853210348057,0.027383440224832457,13877,138.77
NL325,Zaanstreek,0.6479755658234787,0.0,0.050043073067585556,12769,127.69
NL327,Het Gooi en Vechtstreek,0.24969732545768059,0.13717577136148512,0.3279524525809884,27257,272.57
NL328,Alkmaar en omgeving,0.5927667748559317,0.0692190501424124,0.00692190501424124,30194,301.94
NL329,Groot-Amsterdam,0.45664217201199553,0.010427397385710689,0.17189753450999246,87366,873.66
NL332,Agglomeratie ’s-Gravenhage,0.24304084720121027,0.06645234493192133,0.022125567322239033,26440,264.4
NL333,Delft en Westland,0.635666471696887,0.005329173978033405,0.009293559498277766,15387,153.87
NL337,Agglomeratie Leiden en Bollenstreek,0.5506348196040334,0.021071320893772404,0.044186124417942445,29851,298.51
NL33A,Zuidoost-Zuid-Holland,0.6529617132492052,0.02256636305123754,0.09289851963098048,51271,512.71
NL33B,Oost-Zuid-Holland,0.749461704091049,0.013380498308212857,0.06924792371577976,52016,520.16
NL33C,Groot-Rijnmond,0.4544560812166446,0.022952529994783515,0.2064523895509811,149526,1495.26
NL341,Zeeuwsch-Vlaanderen,0.817136369707493,0.012555095498864698,0.05928943502070255,74870,748.7
NL342,Overig Zeeland,0.6891989252324566,0.023521135117266632,0.13793980284626925,117979,1179.79
NL411,West-Noord-Brabant,0.6502174396576188,0.09419317231805248,0.06702663731678696,130381,1303.81
NL412,Midden-Noord-Brabant,0.6265929104118295,0.1369876205048095,0.043333582991836164,93461,934.61
NL413,Noordoost-Noord-Brabant,0.7099906925735395,0.093117554960714,0.019581670863426142,138599,1385.99
NL414,Zuidoost-Noord-Brabant,0.5659443488513981,0.20526759578537496,0.014951361801018694,145873,1458.73
NL421,Noord-Limburg,0.6326293966759198,0.1738524426953395,0.03041802827459386,85377,853.77
NL422,Midden-Limburg,0.6462566381897945,0.14872431309166476,0.042975063495728466,69296,692.96
NL423,Zuid-Limburg,0.5991897325815181,0.07198681803752022,0.014754123142507293,66151,661.51
