trial,state,macro_pr_auc_h1,model,n_features,feature_groups,group_subsets,subset_meteo,subset_static_pop,subset_static_elev,subset_static_soil,param_use_meteo,param_meteo_subset,param_use_temporal,param_use_static_land,param_use_static_pop,param_use_static_elev,param_elev_subset,param_use_static_soil,param_soil_subset,param_use_class_lag,param_C,param_l1_ratio,subset_temporal,subset_static_land,subset_class_lag,param_temporal_subset,param_land_subset,param_class_lag_subset,param_max_depth,param_n_estimators,param_min_samples_leaf,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_subsample,param_colsample_bytree
90,TrialState.PRUNED,0.40220642405478674,logistic_regression,17,"meteo,temporal,static_pop","{""meteo"": ""all"", ""static_pop"": ""all"", ""temporal"": ""seasonality""}",all,all,,,True,all,True,False,True,False,,False,,False,0.004565028106852689,,seasonality,,,seasonality,,,,,,,,,,,
63,TrialState.PRUNED,0.39490675700717687,xgboost,41,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,all,both,,all,3.0,600.0,,,,0.05789466683700095,,0.6833971836500716,0.60982132597352
54,TrialState.PRUNED,0.3875091967132254,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,5.0,150.0,,,,0.07530546490675967,,0.9958855185529398,0.5803360808225271
55,TrialState.PRUNED,0.3848711343107186,xgboost,24,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""sand_podzol"", ""temporal"": ""persistence""}",spei_only,,both,sand_podzol,True,spei_only,True,False,False,True,both,True,sand_podzol,True,,,persistence,,all,persistence,,all,3.0,350.0,,,,0.03902204982714366,,0.5901352921260243,0.6680777370223772
80,TrialState.PRUNED,0.3843910623795803,logistic_regression,7,"meteo,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""sand_podzol""}",aux_only,all,mean_only,sand_podzol,True,aux_only,False,False,True,True,mean_only,True,sand_podzol,False,0.033836402198449654,,,,,,,,,,,,,,,,
46,TrialState.PRUNED,0.3834569124484644,xgboost,22,"meteo,temporal,static_land,static_soil,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_land"": ""crop_tree"", ""static_soil"": ""dominant_only"", ""temporal"": ""persistence""}",spei_only,,,dominant_only,True,spei_only,True,True,False,False,,True,dominant_only,True,,,persistence,crop_tree,all,persistence,crop_tree,all,3.0,150.0,,,,0.04854925421885662,,0.5548118634182864,0.5024897105454804
50,TrialState.PRUNED,0.38274941601463,xgboost,22,"meteo,temporal,static_elev,class_lag","{""class_lag"": ""all"", ""meteo"": ""long"", ""static_elev"": ""std_only"", ""temporal"": ""both""}",long,,std_only,,True,long,True,False,False,True,std_only,False,,True,,,both,,all,both,,all,10.0,200.0,,,,0.17762800816598132,,0.6322089095542753,0.6086620861026063
47,TrialState.PRUNED,0.3718074186768325,logistic_regression,32,"temporal,static_pop,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""static_elev"": ""std_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",,all,std_only,all,False,,True,False,True,True,std_only,True,all,True,0.042570226887240464,,seasonality,,all,seasonality,,all,,,,,,,,,
36,TrialState.PRUNED,0.3714657099474205,catboost,13,"meteo,temporal,static_elev","{""meteo"": ""spi_only"", ""static_elev"": ""both"", ""temporal"": ""both""}",spi_only,,both,,True,spi_only,True,False,False,True,both,False,,False,,,both,,,both,,,,,,600.0,2.0,0.12194937720533718,1.1096822597869167,,
60,TrialState.PRUNED,0.3708946817183919,xgboost,22,"meteo,temporal,static_elev,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_elev"": ""std_only"", ""temporal"": ""both""}",spei_only,,std_only,,True,spei_only,True,False,False,True,std_only,False,,True,,,both,,all,both,,all,5.0,350.0,,,,0.031163018110574245,,0.6104875544522775,0.6724772840799348
25,TrialState.PRUNED,0.3633917865492834,random_forest,40,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""indices_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,both,all,True,indices_only,True,False,False,True,both,True,all,True,,,both,,water,both,,water,7.0,500.0,23.0,,,,,,
30,TrialState.PRUNED,0.3596640996304673,random_forest,15,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""dominant_only"", ""temporal"": ""both""}",spei_only,,both,dominant_only,True,spei_only,True,False,False,True,both,True,dominant_only,True,,,both,,fire,both,,fire,9.0,200.0,25.0,,,,,,
70,TrialState.PRUNED,0.358856389838246,logistic_regression,16,"meteo,temporal,static_land,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_land"": ""all"", ""static_soil"": ""clay_loam"", ""temporal"": ""persistence""}",aux_only,,,clay_loam,True,aux_only,True,True,False,False,,True,clay_loam,True,2.090477541315082,,persistence,all,agriculture,persistence,all,agriculture,,,,,,,,,
