class,month,n,n_pos,prevalence,mean_pred,brier,pr_auc,skill
Agricultural Economic Loss,1,80.0,1.0,0.0125,0.1900194725324925,0.051023290898734606,,
Agricultural Economic Loss,2,77.0,0.0,0.0,0.23230396629134242,0.07326794036852974,,
Agricultural Economic Loss,3,80.0,1.0,0.0125,0.3486411667312402,0.18214921071020237,,
Agricultural Economic Loss,4,80.0,5.0,0.0625,0.4060647431323714,0.19890075701101337,0.46996229576874743,0.40746229576874743
Agricultural Economic Loss,5,80.0,7.0,0.0875,0.5366577266391014,0.3003359217980862,0.4768628130610213,0.3893628130610213
Agricultural Economic Loss,6,80.0,6.0,0.075,0.5040603370514334,0.26595490553751155,0.5968013468013468,0.5218013468013468
Agricultural Economic Loss,7,80.0,3.0,0.0375,0.45145915289862304,0.2293441450829558,,
Agricultural Economic Loss,8,80.0,3.0,0.0375,0.5284549945450202,0.3219828600043656,,
Agricultural Economic Loss,9,80.0,1.0,0.0125,0.3860962766804199,0.17351073146197737,,
Agricultural Economic Loss,10,40.0,2.0,0.05,0.2232298222137535,0.06518027530056018,,
Agricultural Economic Loss,11,40.0,0.0,0.0,0.18718222130069884,0.04464644473989003,,
Agricultural Economic Loss,12,40.0,0.0,0.0,0.1478413324569289,0.0299133070617023,,
Crop Failure & Yield Reduction,1,80.0,1.0,0.0125,0.21306066818399466,0.059851259461697226,,
Crop Failure & Yield Reduction,2,77.0,4.0,0.05194805194805195,0.24796566301333808,0.10820210851240401,,
Crop Failure & Yield Reduction,3,80.0,13.0,0.1625,0.39594425017043194,0.158983242938534,0.6064246495192787,0.4439246495192787
Crop Failure & Yield Reduction,4,80.0,14.0,0.175,0.4528697566315512,0.21831210961276257,0.3933938196277371,0.21839381962773713
Crop Failure & Yield Reduction,5,80.0,15.0,0.1875,0.6243257310303468,0.3288667389232833,0.5818933008582814,0.3943933008582814
Crop Failure & Yield Reduction,6,80.0,29.0,0.3625,0.5934657454310451,0.2505790950879129,0.670255890618181,0.30775589061818104
Crop Failure & Yield Reduction,7,80.0,17.0,0.2125,0.5474464057629793,0.2307871508297262,0.7815913763904856,0.5690913763904856
Crop Failure & Yield Reduction,8,80.0,14.0,0.175,0.6084274844387163,0.30356912791857055,0.6245995308760037,0.44959953087600374
Crop Failure & Yield Reduction,9,80.0,6.0,0.075,0.45928478373405096,0.22394079928568308,0.23328125774934283,0.15828125774934282
Crop Failure & Yield Reduction,10,40.0,3.0,0.075,0.30642035113406585,0.1265093134662724,,
Crop Failure & Yield Reduction,11,40.0,3.0,0.075,0.2403720660484109,0.09971920527188254,,
Crop Failure & Yield Reduction,12,40.0,5.0,0.125,0.17453448629747803,0.08393492954913992,0.8261904761904763,0.7011904761904763
Forest Dieback & Vegetation Stress,1,80.0,3.0,0.0375,0.1975878473417542,0.07470965102376255,,
Forest Dieback & Vegetation Stress,2,77.0,4.0,0.05194805194805195,0.21697349823346526,0.09119807286304861,,
Forest Dieback & Vegetation Stress,3,80.0,11.0,0.1375,0.3613898754577727,0.18541336770124642,0.35678834819991995,0.21928834819991994
Forest Dieback & Vegetation Stress,4,80.0,16.0,0.2,0.382833831015262,0.17912800962054376,0.5059132945406679,0.3059132945406679
Forest Dieback & Vegetation Stress,5,80.0,2.0,0.025,0.5487753766918637,0.344385690045971,,
Forest Dieback & Vegetation Stress,6,80.0,20.0,0.25,0.5221386628072724,0.20816105237035892,0.6663982342559183,0.41639823425591826
Forest Dieback & Vegetation Stress,7,80.0,11.0,0.1375,0.4396436293553608,0.22496406146019093,0.2564009661835749,0.11890096618357487
Forest Dieback & Vegetation Stress,8,80.0,7.0,0.0875,0.48761723614042884,0.2833075821936131,0.11238794573159898,0.024887945731598984
Forest Dieback & Vegetation Stress,9,80.0,13.0,0.1625,0.3345117835141371,0.1896519321699129,0.37085069181737784,0.20835069181737784
Forest Dieback & Vegetation Stress,10,40.0,1.0,0.025,0.23826986235749512,0.10167870249235911,,
Forest Dieback & Vegetation Stress,11,40.0,0.0,0.0,0.20024344977736205,0.06207029450489475,,
Forest Dieback & Vegetation Stress,12,40.0,5.0,0.125,0.1549509942528679,0.07354503403844473,0.71,0.585
Freshwater Ecosystem Degradation,1,80.0,2.0,0.025,0.3025424167836177,0.11753970925861638,,
Freshwater Ecosystem Degradation,2,77.0,5.0,0.06493506493506493,0.33810602023682984,0.15833987492773863,0.07671737660581474,0.011782311670749807
Freshwater Ecosystem Degradation,3,80.0,13.0,0.1625,0.508764541155266,0.28274143797526574,0.17083823181377136,0.008338231813771357
Freshwater Ecosystem Degradation,4,80.0,19.0,0.2375,0.5558031120059101,0.30399385749446967,0.24489104564132125,0.007391045641321259
Freshwater Ecosystem Degradation,5,80.0,4.0,0.05,0.7324120452286914,0.5273366193536647,,
Freshwater Ecosystem Degradation,6,80.0,13.0,0.1625,0.690577269632377,0.42001671404570695,0.24781341503053309,0.08531341503053308
Freshwater Ecosystem Degradation,7,80.0,22.0,0.275,0.6439959652650379,0.34724591759319,0.30939608881665426,0.034396088816654236
Freshwater Ecosystem Degradation,8,80.0,7.0,0.0875,0.6559238316310501,0.4008232848699942,0.28539327214139243,0.19789327214139243
Freshwater Ecosystem Degradation,9,80.0,4.0,0.05,0.5036643793536962,0.2524087809347014,,
Freshwater Ecosystem Degradation,10,40.0,0.0,0.0,0.44805653685306607,0.2310684991357273,,
Freshwater Ecosystem Degradation,11,40.0,4.0,0.1,0.3727901829557,0.19681419551245005,,
Freshwater Ecosystem Degradation,12,40.0,5.0,0.125,0.29436204852718867,0.09935940888141992,0.7933333333333333,0.6683333333333333
Groundwater Depletion,1,80.0,4.0,0.05,0.2894218337038125,0.13056830700836342,,
Groundwater Depletion,2,77.0,5.0,0.06493506493506493,0.3626436778142421,0.18875375661676547,0.07201384983514726,0.007078784900082333
Groundwater Depletion,3,80.0,16.0,0.2,0.48170757752744464,0.200500854529293,0.5669321453328806,0.3669321453328806
Groundwater Depletion,4,80.0,14.0,0.175,0.5627837006655623,0.3108943029377126,0.3719525736701279,0.19695257367012792
Groundwater Depletion,5,80.0,9.0,0.1125,0.6507483148061678,0.4019306879215597,0.17645645442734803,0.06395645442734803
Groundwater Depletion,6,80.0,15.0,0.1875,0.6047228912831958,0.303523132701285,0.5396138403220447,0.35211384032204474
Groundwater Depletion,7,80.0,7.0,0.0875,0.5514794780927318,0.29269987552115434,0.547562358276644,0.460062358276644
Groundwater Depletion,8,80.0,5.0,0.0625,0.5238842021951484,0.2904588014535451,0.3516117216117216,0.2891117216117216
Groundwater Depletion,9,80.0,5.0,0.0625,0.3945524593586315,0.19783110504581286,0.13277061658923858,0.07027061658923858
Groundwater Depletion,10,40.0,1.0,0.025,0.26664971976887847,0.11297275596919236,,
Groundwater Depletion,11,40.0,1.0,0.025,0.2713471792962201,0.11730120514397299,,
Groundwater Depletion,12,40.0,9.0,0.225,0.28090108011973614,0.15933375041359224,0.4061562252383508,0.18115622523835082
Irrigation Shortage,1,80.0,0.0,0.0,0.28505778427585543,0.1132564690975679,,
Irrigation Shortage,2,77.0,1.0,0.012987012987012988,0.3148676675600431,0.13048359540327337,,
Irrigation Shortage,3,80.0,11.0,0.1375,0.45738409132615504,0.1970927312322987,0.5573333863106591,0.4198333863106591
Irrigation Shortage,4,80.0,16.0,0.2,0.4765068708260617,0.23656810353568955,0.42491165310541756,0.22491165310541755
Irrigation Shortage,5,80.0,8.0,0.1,0.6370193844414626,0.3878169067152484,0.4525117243867244,0.3525117243867244
Irrigation Shortage,6,80.0,22.0,0.275,0.5927766958656807,0.3289529640352594,0.42247556302654765,0.14747556302654763
Irrigation Shortage,7,80.0,6.0,0.075,0.5111271362352956,0.2671573984318007,0.7102229780801209,0.635222978080121
Irrigation Shortage,8,80.0,4.0,0.05,0.5940125756568897,0.3893631834337251,,
Irrigation Shortage,9,80.0,0.0,0.0,0.4349955492861657,0.23808974339813016,,
Irrigation Shortage,10,40.0,2.0,0.05,0.35301580026257867,0.13256810459700685,,
Irrigation Shortage,11,40.0,2.0,0.05,0.303360895933087,0.10268100309730661,,
Irrigation Shortage,12,40.0,2.0,0.05,0.23859434929536988,0.06420969508840661,,
Reservoir & Surface Water Shortage,1,80.0,2.0,0.025,0.11702937686490489,0.034615198360083546,,
Reservoir & Surface Water Shortage,2,77.0,2.0,0.025974025974025976,0.16833409667205435,0.05517336714742467,,
Reservoir & Surface Water Shortage,3,80.0,9.0,0.1125,0.36038390769208767,0.18285779234013394,0.21411203128594433,0.10161203128594433
