class,drought_bin,n,n_pos,prevalence,mean_pred,brier,pr_auc,skill
Agricultural Economic Loss,dry,141.0,11.0,0.07801418439716312,0.567654178817718,0.3213423175084781,0.26609555681060326,0.18808137241344014
Agricultural Economic Loss,near_normal,165.0,8.0,0.048484848484848485,0.5353724412817331,0.30643895956058925,0.29377587991718423,0.24529103143233574
Agricultural Economic Loss,wet,531.0,10.0,0.018832391713747645,0.26357468556565083,0.10021785912741626,0.06764538923115611,0.04881299751740846
Crop Failure & Yield Reduction,dry,141.0,44.0,0.3120567375886525,0.5740878088945274,0.2446094483411448,0.6270349966137372,0.3149782590250847
Crop Failure & Yield Reduction,near_normal,165.0,42.0,0.2545454545454545,0.5468755616191802,0.23814193700596173,0.6269020061670141,0.37235655162155956
Crop Failure & Yield Reduction,wet,531.0,38.0,0.07156308851224105,0.3547110536734114,0.167506422579125,0.13551747889578836,0.0639543903835473
Forest Dieback & Vegetation Stress,dry,141.0,20.0,0.14184397163120568,0.3940788762898908,0.21792042639299034,0.19155008460299128,0.04970611297178559
Forest Dieback & Vegetation Stress,near_normal,165.0,28.0,0.1696969696969697,0.41391055705260416,0.23377368388870837,0.23898971521107013,0.06929274551410042
Forest Dieback & Vegetation Stress,wet,531.0,45.0,0.0847457627118644,0.336242989707796,0.1551643740408326,0.28803356288596454,0.20328780017410014
Freshwater Ecosystem Degradation,dry,141.0,19.0,0.1347517730496454,0.5653000454600151,0.2989299714865981,0.3977978092414982,0.26304603619185285
Freshwater Ecosystem Degradation,near_normal,165.0,45.0,0.2727272727272727,0.5600661183303022,0.30139758676373407,0.31695587112920837,0.04422859840193566
Freshwater Ecosystem Degradation,wet,531.0,34.0,0.064030131826742,0.5009773695701768,0.2892102305782336,0.07810102361139318,0.01407089178465118
Groundwater Depletion,dry,141.0,15.0,0.10638297872340426,0.6216371670368102,0.3595216908729631,0.4102434967597172,0.303860518036313
Groundwater Depletion,near_normal,165.0,33.0,0.2,0.6124057423574989,0.32444926438116556,0.3697312241616366,0.1697312241616366
Groundwater Depletion,wet,531.0,43.0,0.08097928436911488,0.370481602501936,0.18110023738997968,0.15493788091706776,0.07395859654795288
Irrigation Shortage,dry,141.0,22.0,0.15602836879432624,0.5049280964791762,0.2784073934116315,0.31241072421220295,0.1563823554178767
Irrigation Shortage,near_normal,165.0,30.0,0.18181818181818182,0.5538391059710877,0.2957426233980417,0.43412308840904595,0.25230490659086413
Irrigation Shortage,wet,531.0,22.0,0.04143126177024482,0.4078639268663969,0.20082187121661305,0.19427821021552177,0.15284694844527696
Reservoir & Surface Water Shortage,dry,141.0,26.0,0.18439716312056736,0.5902774366455938,0.321439219151564,0.23155274414291976,0.0471555810223524
Reservoir & Surface Water Shortage,near_normal,165.0,39.0,0.23636363636363636,0.5413500208164307,0.2981378561866582,0.24619997824594525,0.009836341882308891
Reservoir & Surface Water Shortage,wet,531.0,21.0,0.03954802259887006,0.22344972375009411,0.09250365852561608,0.04897228768182046,0.009424265082950398
Water Supply & Sanitation Issues,dry,141.0,20.0,0.14184397163120568,0.5633379649356418,0.2831582372023755,0.43509424356404497,0.29325027193283926
Water Supply & Sanitation Issues,near_normal,165.0,26.0,0.15757575757575756,0.6819038833318819,0.4076801466778382,0.2745365090540401,0.11696075147828253
Water Supply & Sanitation Issues,wet,531.0,47.0,0.08851224105461393,0.6015089877941389,0.3459967745290937,0.22541230314277497,0.13690006208816102
Water Use Restrictions,dry,141.0,6.0,0.0425531914893617,0.4688097608266192,0.2613049997831395,0.09028882832320038,0.047735636833838684
Water Use Restrictions,near_normal,165.0,27.0,0.16363636363636364,0.5510270660465435,0.2647401889051613,0.6861987088013938,0.5225623451650301
Water Use Restrictions,wet,531.0,16.0,0.030131826741996232,0.2465690733729135,0.11135112008620736,0.08372470824476165,0.05359288150276542
Wildfire Occurrence,dry,141.0,4.0,0.028368794326241134,0.21115363589134792,0.07486748742958285,,
Wildfire Occurrence,near_normal,165.0,12.0,0.07272727272727272,0.38718137916008283,0.21384886929828537,0.11157764622189782,0.0388503734946251
Wildfire Occurrence,wet,531.0,8.0,0.015065913370998116,0.2890611769913269,0.1361004208114613,0.07740638822066798,0.06234047484966986
