class,nuts3_id,nuts3_name,n,n_pos,prevalence,mean_pred,brier,pr_auc,skill
Agricultural Economic Loss,NL111,Oost-Groningen,21.0,0.0,0.0,0.2645030602423162,0.10326635343162921,,
Agricultural Economic Loss,NL112,Delfzijl en omgeving,20.0,0.0,0.0,0.4152252646730242,0.21054602329110014,,
Agricultural Economic Loss,NL113,Overig Groningen,21.0,0.0,0.0,0.2936244632814117,0.12032215774241181,,
Agricultural Economic Loss,NL124,Noord-Friesland,21.0,0.0,0.0,0.42121224159375314,0.21872434637626414,,
Agricultural Economic Loss,NL125,Zuidwest-Friesland,21.0,0.0,0.0,0.17654792776443273,0.04626450440637116,,
Agricultural Economic Loss,NL126,Zuidoost-Friesland,20.0,0.0,0.0,0.22765564685262513,0.0780787490695497,,
Agricultural Economic Loss,NL131,Noord-Drenthe,21.0,0.0,0.0,0.322967803186524,0.14461925561868022,,
Agricultural Economic Loss,NL132,Zuidoost-Drenthe,21.0,0.0,0.0,0.19468961189629808,0.06116403632765262,,
Agricultural Economic Loss,NL133,Zuidwest-Drenthe,21.0,0.0,0.0,0.2548761579416874,0.09758696625300554,,
Agricultural Economic Loss,NL211,Noord-Overijssel,21.0,0.0,0.0,0.2979777645872618,0.12550225380254165,,
Agricultural Economic Loss,NL212,Zuidwest-Overijssel,21.0,0.0,0.0,0.4362805172867792,0.2358229448119544,,
Agricultural Economic Loss,NL213,Twente,21.0,0.0,0.0,0.4863601496661215,0.2828984178097715,,
Agricultural Economic Loss,NL221,Veluwe,21.0,1.0,0.047619047619047616,0.5272739534501569,0.33628041013974375,,
Agricultural Economic Loss,NL224,Zuidwest-Gelderland,21.0,0.0,0.0,0.29496694100545995,0.12330952288611893,,
Agricultural Economic Loss,NL225,Achterhoek,21.0,2.0,0.09523809523809523,0.5826970595485573,0.33596815217677634,,
Agricultural Economic Loss,NL226,Arnhem/Nijmegen,21.0,0.0,0.0,0.42957276506844116,0.23092419878433873,,
Agricultural Economic Loss,NL230,Flevoland,21.0,0.0,0.0,0.32344322240033924,0.14202376073783526,,
Agricultural Economic Loss,NL310,Utrecht,21.0,1.0,0.047619047619047616,0.2661229301435859,0.09344220719167601,,
Agricultural Economic Loss,NL321,Kop van Noord-Holland,21.0,2.0,0.09523809523809523,0.4024345048984211,0.1797460585125514,,
Agricultural Economic Loss,NL323,IJmond,21.0,0.0,0.0,0.18530026238913058,0.052648394739502634,,
Agricultural Economic Loss,NL324,Agglomeratie Haarlem,21.0,0.0,0.0,0.20358310549282943,0.06344369534371162,,
Agricultural Economic Loss,NL325,Zaanstreek,21.0,0.0,0.0,0.1994727146228422,0.059695959563145766,,
Agricultural Economic Loss,NL327,Het Gooi en Vechtstreek,20.0,0.0,0.0,0.35045440094558994,0.16054359933572288,,
Agricultural Economic Loss,NL328,Alkmaar en omgeving,21.0,1.0,0.047619047619047616,0.2878931742551693,0.15197634517295885,,
