class,kind,nuts3_id,nuts3_name,skill,brier,pr_auc,n_pos
Agricultural Economic Loss,best,NL342,Overig Zeeland,0.32340468173801523,0.23616119630805307,0.7324955908289243,9.0
Agricultural Economic Loss,best,NL341,Zeeuwsch-Vlaanderen,0.20716832187420425,0.2805272361457722,0.5253501400560224,7.0
Agricultural Economic Loss,best,NL33B,Oost-Zuid-Holland,,0.05607079817482315,,0.0
Agricultural Economic Loss,worst,NL225,Achterhoek,,0.34290839758393266,,3.0
Agricultural Economic Loss,worst,NL221,Veluwe,,0.3211489479396267,,1.0
Agricultural Economic Loss,worst,NL33C,Groot-Rijnmond,,0.3065257413198618,,1.0
Crop Failure & Yield Reduction,best,NL329,Groot-Amsterdam,0.6328282828282827,0.12167917428644368,0.9055555555555554,6.0
Crop Failure & Yield Reduction,best,NL412,Midden-Noord-Brabant,0.5883838383838383,0.2022662139790123,0.861111111111111,6.0
Crop Failure & Yield Reduction,best,NL33C,Groot-Rijnmond,0.5827272727272728,0.27034731915491145,0.81,5.0
Crop Failure & Yield Reduction,worst,NL221,Veluwe,,0.339044886909655,,3.0
Crop Failure & Yield Reduction,worst,NL213,Twente,,0.28258014876886056,,3.0
Crop Failure & Yield Reduction,worst,NL212,Zuidwest-Overijssel,,0.27126691117043755,,1.0
Forest Dieback & Vegetation Stress,best,NL411,West-Noord-Brabant,0.20435305435305434,0.2528071616292494,0.6134439634439635,9.0
Forest Dieback & Vegetation Stress,best,NL221,Veluwe,0.17648878898878895,0.29323123113578276,0.5401251526251526,8.0
Forest Dieback & Vegetation Stress,best,NL412,Midden-Noord-Brabant,0.17294372294372293,0.3433616748208372,0.4002164502164502,5.0
Forest Dieback & Vegetation Stress,worst,NL414,Zuidoost-Noord-Brabant,,0.42151896037807995,,4.0
Forest Dieback & Vegetation Stress,worst,NL225,Achterhoek,,0.38960998200923774,,4.0
Forest Dieback & Vegetation Stress,worst,NL421,Noord-Limburg,,0.34392150325495446,,2.0
Freshwater Ecosystem Degradation,best,NL422,Midden-Limburg,0.2064194577352472,0.3109852003650566,0.43369218500797446,5.0
Freshwater Ecosystem Degradation,best,NL411,West-Noord-Brabant,0.08873737373737381,0.3878568647759335,0.3160101010101011,5.0
Freshwater Ecosystem Degradation,best,NL310,Utrecht,0.041666666666666685,0.34159893924962736,0.3143939393939394,6.0
Freshwater Ecosystem Degradation,worst,NL221,Veluwe,,0.5027115005042313,,1.0
Freshwater Ecosystem Degradation,worst,NL213,Twente,,0.4459617086981778,,3.0
Freshwater Ecosystem Degradation,worst,NL212,Zuidwest-Overijssel,,0.4101650431899733,,1.0
Groundwater Depletion,best,NL225,Achterhoek,0.3196445659603555,0.3285268573655504,0.5469172932330828,5.0
Groundwater Depletion,best,NL412,Midden-Noord-Brabant,0.2755651755651756,0.25691063383721346,0.6846560846560847,9.0
Groundwater Depletion,best,NL413,Noordoost-Noord-Brabant,0.26233766233766237,0.2852139213402056,0.6714285714285715,9.0
Groundwater Depletion,worst,NL221,Veluwe,,0.5070366230427764,,2.0
Groundwater Depletion,worst,NL213,Twente,,0.4727684933019976,,3.0
Groundwater Depletion,worst,NL212,Zuidwest-Overijssel,,0.4229353168380294,,1.0
Irrigation Shortage,best,NL329,Groot-Amsterdam,0.3917748917748918,0.1393331313508831,0.6190476190476191,5.0
Irrigation Shortage,best,NL414,Zuidoost-Noord-Brabant,0.27087542087542094,0.24033654358240367,0.5436026936026936,6.0
Irrigation Shortage,best,NL342,Overig Zeeland,0.19856453316205613,0.27296742376209343,0.7894736240711471,13.0
Irrigation Shortage,worst,NL33C,Groot-Rijnmond,,0.49489356707180376,,3.0
Irrigation Shortage,worst,NL225,Achterhoek,,0.4491681883443507,,1.0
