nuts3_id,nuts3_name,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill,rank_score
NL325,Zaanstreek,60.0,7.0,10.0,0.0,0.11666666666666667,0.33684776381208537,0.1549912223684386,,,-0.1549912223684386
NL33B,Oost-Zuid-Holland,60.0,4.0,10.0,0.0,0.06666666666666667,0.3560181602853269,0.15918426139341452,,,-0.15918426139341452
NL125,Zuidwest-Friesland,60.0,4.0,10.0,0.0,0.06666666666666667,0.3600986710368872,0.15950114934584111,,,-0.15950114934584111
NL132,Zuidoost-Drenthe,60.0,1.0,10.0,0.0,0.016666666666666666,0.35346675926705584,0.15986076986029568,,,-0.15986076986029568
NL323,IJmond,60.0,6.0,10.0,0.0,0.1,0.36984649338410847,0.16554401641383357,,,-0.16554401641383357
NL332,Agglomeratie ’s-Gravenhage,60.0,5.0,10.0,0.0,0.08333333333333333,0.4067386652739656,0.1821069223539115,,,-0.1821069223539115
NL324,Agglomeratie Haarlem,60.0,7.0,10.0,0.0,0.11666666666666665,0.40406362417552727,0.19686010449420638,,,-0.19686010449420638
NL126,Zuidoost-Friesland,60.0,1.0,10.0,0.0,0.016666666666666666,0.4283812285325932,0.213602361059161,,,-0.213602361059161
NL111,Oost-Groningen,60.0,4.0,10.0,0.0,0.06666666666666667,0.45519321362429527,0.2319877092588623,,,-0.2319877092588623
NL328,Alkmaar en omgeving,60.0,6.0,10.0,0.0,0.1,0.4711667830841333,0.23410619811188865,,,-0.23410619811188865
NL133,Zuidwest-Drenthe,60.0,2.0,10.0,0.0,0.03333333333333333,0.45349247800768555,0.23593647544711707,,,-0.23593647544711707
NL342,Overig Zeeland,60.0,17.0,10.0,0.0,0.2833333333333333,0.5851160310287713,0.24212268742606485,,,-0.24212268742606485
NL329,Groot-Amsterdam,60.0,14.0,10.0,0.0,0.2333333333333333,0.5243290105585727,0.2438121988106503,,,-0.2438121988106503
NL211,Noord-Overijssel,60.0,12.0,10.0,0.0,0.19999999999999998,0.5159257822768274,0.24898930692579055,,,-0.24898930692579055
NL113,Overig Groningen,60.0,4.0,10.0,0.0,0.06666666666666667,0.4877547850950549,0.25828068304583257,,,-0.25828068304583257
NL333,Delft en Westland,60.0,12.0,10.0,0.0,0.19999999999999998,0.5174232529411216,0.2640367965720136,,,-0.2640367965720136
NL33A,Zuidoost-Zuid-Holland,60.0,4.0,10.0,0.0,0.06666666666666667,0.5172464412558275,0.27415761043803205,,,-0.27415761043803205
NL112,Delfzijl en omgeving,60.0,4.0,10.0,0.0,0.06666666666666667,0.5010900328334807,0.28387749460047185,,,-0.28387749460047185
NL337,Agglomeratie Leiden en Bollenstreek,60.0,5.0,10.0,0.0,0.08333333333333333,0.5221722338002955,0.28447509853551534,,,-0.28447509853551534
NL230,Flevoland,60.0,1.0,10.0,0.0,0.016666666666666666,0.5008928993846136,0.2852351467374784,,,-0.2852351467374784
NL341,Zeeuwsch-Vlaanderen,60.0,12.0,10.0,0.0,0.19999999999999998,0.6036815077777977,0.2869145676232961,,,-0.2869145676232961
NL327,Het Gooi en Vechtstreek,60.0,6.0,10.0,0.0,0.1,0.5426735587203845,0.28725125147394986,,,-0.28725125147394986
NL321,Kop van Noord-Holland,60.0,11.0,10.0,0.0,0.18333333333333332,0.537252180357674,0.2926477765509923,,,-0.2926477765509923
NL124,Noord-Friesland,60.0,6.0,10.0,0.0,0.1,0.5678708714133035,0.30357004376767416,,,-0.30357004376767416
NL131,Noord-Drenthe,60.0,8.0,10.0,0.0,0.13333333333333333,0.5356507763723766,0.30835155756091914,,,-0.30835155756091914
NL224,Zuidwest-Gelderland,60.0,4.0,10.0,0.0,0.06666666666666667,0.5452291667416602,0.31544672618066316,,,-0.31544672618066316
NL310,Utrecht,60.0,13.0,10.0,0.0,0.21666666666666665,0.650609049990141,0.3396954182987658,,,-0.3396954182987658
NL411,West-Noord-Brabant,60.0,17.0,10.0,0.0,0.2833333333333333,0.7255985205386568,0.36810948430930635,,,-0.36810948430930635
NL226,Arnhem/Nijmegen,60.0,11.0,10.0,0.0,0.18333333333333332,0.6617442715546722,0.3770960787510821,,,-0.3770960787510821
NL423,Zuid-Limburg,60.0,7.0,10.0,0.0,0.11666666666666665,0.6450596749636841,0.38186160614974074,,,-0.38186160614974074
NL412,Midden-Noord-Brabant,60.0,14.0,10.0,0.0,0.2333333333333333,0.7175090403763853,0.38231601153280126,,,-0.38231601153280126
NL421,Noord-Limburg,60.0,11.0,10.0,0.0,0.1833333333333333,0.694501154331229,0.3950791738732459,,,-0.3950791738732459
NL414,Zuidoost-Noord-Brabant,60.0,19.0,10.0,0.0,0.3166666666666666,0.7717068990105762,0.4158949904558774,,,-0.4158949904558774
NL413,Noordoost-Noord-Brabant,60.0,15.0,10.0,0.0,0.24999999999999994,0.7625506416031765,0.4188943581410249,,,-0.4188943581410249
NL212,Zuidwest-Overijssel,60.0,7.0,10.0,0.0,0.11666666666666667,0.6909737910433715,0.42415808492336754,,,-0.42415808492336754
NL33C,Groot-Rijnmond,60.0,5.0,10.0,0.0,0.08333333333333333,0.6722881964460512,0.4254199125462117,,,-0.4254199125462117
NL422,Midden-Limburg,60.0,9.0,10.0,0.0,0.15,0.7037047363960929,0.42640291235129163,,,-0.42640291235129163
NL213,Twente,60.0,12.0,10.0,0.0,0.2,0.7414478385763553,0.4470281466083038,,,-0.4470281466083038
NL225,Achterhoek,60.0,8.0,10.0,0.0,0.13333333333333333,0.742514568625332,0.4773584291323842,,,-0.4773584291323842
NL221,Veluwe,60.0,8.0,10.0,0.0,0.13333333333333333,0.7637889659846225,0.5104457900110546,,,-0.5104457900110546
