month,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill
1,800.0,15.0,10.0,0.0,0.01875,0.2319297038737508,0.08682153385072541,,
2,770.0,28.0,10.0,3.0,0.03636363636363636,0.28756093160049434,0.12948133113551535,0.14746804337128855,0.08253297843622363
3,800.0,95.0,10.0,9.0,0.11875000000000002,0.4275235566291998,0.20796659361814057,0.4187130116034773,0.28815745604792176
4,800.0,135.0,10.0,10.0,0.16875,0.4914865557112435,0.2535686605364816,0.4105351298011445,0.2417851298011445
5,800.0,66.0,10.0,6.0,0.08249999999999999,0.6239021688100249,0.38645893120171576,0.37345119267285803,0.2526178593395247
6,800.0,169.0,10.0,9.0,0.21125,0.5917839899166746,0.2986424575931463,0.5386163249800615,0.3066718805356171
7,800.0,106.0,10.0,8.0,0.1325,0.5061474686581275,0.2596880993308739,0.43458631199380693,0.2767738119938069
8,800.0,48.0,10.0,4.0,0.06,0.5313873988200927,0.3111072199303813,0.3434981175901792,0.24037311759017918
9,800.0,38.0,10.0,4.0,0.0475,0.3686320815779124,0.17372112207539386,0.30896241844967975,0.2058374184496798
10,400.0,9.0,10.0,0.0,0.0225,0.2644422507143149,0.1101780377691612,,
11,400.0,12.0,10.0,0.0,0.030000000000000006,0.22397737752058205,0.09032480767320443,,
12,400.0,40.0,10.0,6.0,0.1,0.18902741460321543,0.08518447745172746,0.7054867620004496,0.5596534286671163
