class,cv_pr_auc,cv_prevalence,cv_skill,n_folds_scored,model,n_features,horizon,predictable,predictability
Forest Dieback & Vegetation Stress,0.3958962736217562,0.13294352725366876,0.26295274636808746,4,logistic_regression,32,1,True,predictable
Groundwater Depletion,0.4594096003668431,0.21223466981132075,0.24717493055552234,4,logistic_regression,32,1,True,predictable
Irrigation Shortage,0.3332591572665103,0.10108425052410902,0.23217490674240127,4,logistic_regression,32,1,True,predictable
Reservoir & Surface Water Shortage,0.38310693415635516,0.16725301362683437,0.2158539205295208,4,logistic_regression,32,1,True,predictable
Water Use Restrictions,0.3217716561142483,0.11981787211740043,0.20195378399684788,4,logistic_regression,32,1,True,predictable
Freshwater Ecosystem Degradation,0.41484887887352206,0.2147536687631027,0.20009521011041936,4,logistic_regression,32,1,True,predictable
Crop Failure & Yield Reduction,0.3855604903251221,0.21575602725366877,0.1698044630714533,4,logistic_regression,32,1,True,predictable
Wildfire Risk Increase,0.21175249389766737,0.03750655136268344,0.17424594253498393,4,logistic_regression,32,1,False,non_predictable
Wildfire Occurrence,0.1852939770153723,0.04272471174004193,0.14256926527533037,4,logistic_regression,32,1,False,non_predictable
Agricultural Economic Loss,0.21797127550432632,0.10108097484276729,0.11689030066155903,4,logistic_regression,32,1,False,non_predictable
Water Supply & Sanitation Issues,0.24274783858775867,0.1568527253668763,0.08589511322088236,4,logistic_regression,32,1,False,non_predictable
Wetland Loss,0.09458142247712063,0.05159853249475891,0.04298288998236172,4,logistic_regression,32,1,False,non_predictable
Social Impacts,0.09427394420365173,0.05266312893081761,0.041610815272834126,4,logistic_regression,32,1,False,non_predictable
Broader Economic Disruption,0.12130509871910992,0.08656643081761006,0.03473866790149986,4,logistic_regression,32,1,False,non_predictable
Inland Waterway Disruption,0.06400203929159333,0.03751310272536688,0.026488936566226452,4,logistic_regression,32,1,False,non_predictable
